X,Y
10,43
15,14
15,20
14,158
45,190
48,105
73,182
43,207
82,291
82,294
84,202
83,303
94,346
10,483
11,479
110,43
171,61
132,112
165,199
167,133
168,100
179,137
187,190
164,205
172,280
174,280
114,330
116,330
111,478
216,68
221,68
232,116
243,116
241,219
241,226
241,233
282,353
271,482
271,484
282,475
284,488
322,48
336,123
336,137
368,196
369,191
370,103
318,218
319,218
368,202
395,353
395,355
311,436
315,435
445,10
468,177
475,113
498,266
401,354
463,348
464,335
471,342
484,325
421,478
421,483
554,76
583,44
588,43
598,80
592,163
592,170
500,265
576,225
584,217
586,217
529,343
530,327
538,318
555,364
563,382
575,365
593,325
598,468
599,470
