,x,y,z
0,0,0,0.0
1,34,10,10.614455552060441
2,38,132,12.0
3,62,164,13.0
4,73,214,14.0
5,57,324,16.0
6,9,450,23.932882862316248
7,58,583,25.97776129244065
8,71,572,25.988884770611413
9,86,501,23.511884584284246
10,94,579,25.43375672974065
11,171,28,17.97776129244065
12,188,67,17.97776129244065
13,195,46,18.96655480858378
14,148,147,18.988884770611413
15,158,157,14.0
16,196,176,18.52774925846869
17,128,235,19.753530650887157
18,128,324,20.787382008545894
19,198,372,18.0
20,122,481,19.0
21,190,458,22.880441875771346
22,161,591,26.96655480858378
23,177,576,26.97776129244065
24,215,55,16.662279942148388
25,294,81,16.0
26,217,174,18.880441875771346
27,283,173,16.0
28,237,241,19.686976778431877
29,217,360,22.71960144387975
30,239,315,17.0
31,264,401,23.654746681256313
32,264,496,25.932882862316248
33,265,496,25.932882862316248
34,267,402,23.760952285695232
35,211,585,26.96655480858378
36,218,585,26.96655480858378
37,218,591,26.96655480858378
38,225,573,26.96655480858378
39,280,501,21.0
40,332,85,20.97776129244065
41,334,116,17.0
42,353,286,23.96655480858378
43,358,282,23.96655480858378
44,350,394,24.96655480858378
45,364,314,22.625955623979802
46,378,377,20.0
47,333,472,25.899664425751347
48,351,432,25.988884770611413
49,344,543,26.97776129244065
50,362,561,27.753530650887157
51,480,25,23.71960144387975
52,491,108,24.96655480858378
53,491,283,22.902380714238088
54,441,313,20.0
55,476,435,22.0
56,466,502,27.760952285695232
57,467,597,29.932882862316248
58,472,503,27.932882862316248
59,483,598,29.932882862316248
