,x,y
0,0,0
1,34,10
2,38,132
3,62,164
4,73,214
5,57,324
6,9,450
7,58,583
8,71,572
9,86,501
10,94,579
11,171,28
12,188,67
13,195,46
14,148,147
15,158,157
16,196,176
17,128,235
18,128,324
19,198,372
20,122,481
21,190,458
22,161,591
23,177,576
24,215,55
25,294,81
26,217,174
27,283,173
28,237,241
29,217,360
30,239,315
31,264,401
32,264,496
33,265,496
34,267,402
35,211,585
36,218,585
37,218,591
38,225,573
39,280,501
40,332,85
41,334,116
42,353,286
43,358,282
44,350,394
45,364,314
46,378,377
47,333,472
48,351,432
49,344,543
50,362,561
51,480,25
52,491,108
53,491,283
54,441,313
55,476,435
56,466,502
57,467,597
58,472,503
59,483,598
